Receiver_ID,Name,Type,City,Contact,lat,lon
77,Juan Spencer,Individual,North David,+1-144-242-7963x89583,-37.7917695,145.0932271
78,Aaron Davis,Shelter,Marshallton,231.082.0755,39.7256679,-75.6540959
79,Meagan Ramirez,Charity,Angelaville,001-671-666-7691x55556,,
80,Eric Jackson,Individual,Knightburgh,7326023388,,
81,Theresa Ramirez,NGO,Port Gregoryport,+1-582-895-7478x325,,
82,Laura Bennett,NGO,Evansside,(379)719-1693x40160,,
83,Julie Hines,NGO,Davidview,143-601-6545x48405,,
84,Deanna Lewis,NGO,East Kelli,0938550061,36.4253354,-83.5380087
85,Jeffery Mueller,Charity,Lake John,3024932900,28.0012138,-81.9420431
86,Jessica Grant,Charity,Smithshire,601.132.1809x716,40.7924347,-90.7783252
87,Tammy Walker MD,Charity,West Ronaldland,(982)044-7177,,
88,Eric Ryan DDS,NGO,Lake Daniel,001-677-794-6847x02126,36.0826356,-79.8116985
89,Mr. David Lambert,Individual,Robinsonside,(929)841-1999,,
90,Alvin West,Shelter,Kellybury,(417)314-8724,,
91,Ashley James,Charity,Garrettborough,192-784-7581x225,,
92,Bridget Peterson,NGO,Greenton,(509)037-6331x927,39.0486198,-93.9641113
93,Allison Bray,Individual,Alexatown,001-122-277-3588,,
94,Timothy Patel DVM,Charity,New Jessica,+1-046-832-9667x841,39.8717053,-74.8639971
95,Anthony Green,NGO,Laurafort,001-706-024-9230x5313,,
96,Michael Walls,Individual,Carterside,650-930-7741,55.3043228,-1.9535372
97,Nathan May,Charity,South Veronicaburgh,(808)784-9354,,
98,Brian Cowan,Individual,Henryhaven,(234)142-1265x21005,,
99,Nancy Silva,Individual,Russellville,929.221.3591x105,35.2784173,-93.1337856
100,Melissa Little,NGO,Robertaborough,(250)263-7746x235,,
101,Nicole Reid,Shelter,Hollytown,808.564.6895,39.9815372,-74.7870282
102,Daniel Burton,Individual,North Matthewhaven,972.284.4190x487,,
103,Karen Cruz,Individual,West Justin,(500)583-5978,18.5360136,-72.5299855
104,Victor Reyes,Charity,North Joshuafort,+1-411-230-8872x5335,,
105,Trevor Wilson,NGO,North Pamela,001-651-719-1403x4050,52.3659799,4.8718685
106,David Johnson,Individual,Lake Rebecca,035-019-0294,44.7502078,-92.8690119
107,Jessica Morris,NGO,Port Elizabethton,(137)776-1761,,
108,Suzanne Dawson,NGO,East Josephstad,+1-682-159-2143x3841,,
109,Rachel Nguyen,NGO,Theresamouth,(040)545-2043,,
110,Karla Castillo,NGO,Lake Michaelton,192-811-2685x97518,,
111,Deanna Flores,NGO,West Johnny,6692949581,18.6765261,-72.3107538
112,Brady Lopez,Individual,Michaeltown,831.275.5906x807,,
113,Jonathan Young,Shelter,Georgeborough,164-864-1786x77029,,
114,John Chase,NGO,Meganton,530.424.6470x4854,,
115,Anthony Carter,Shelter,Scottmouth,(499)726-7360,,
116,Mark Lee,Individual,Port Teresa,001-983-757-6830x086,41.3629878,2.1399277
117,Kelly Pierce,Shelter,East Heatherborough,517.232.1717,,
118,Matthew Tran,Charity,South Franciscoport,583.144.1560x457,,
119,Jasmine Robertson,Individual,Deanview,001-388-078-6769x4237,56.642668,-2.9283841
120,Matthew Ramos,Shelter,Kennethberg,(503)563-9703x9449,,
121,Gavin Freeman,NGO,Ayalamouth,7826814168,,
122,Drew Cline,NGO,Port Patriciachester,517-828-7715,,
123,Teresa Williams,Charity,South Alexandraport,(673)228-8829x64732,,
124,Marie Andrade,Charity,Meghanfort,314-096-2823,,
125,Tammy Smith,Individual,Campbellchester,001-668-537-1925x410,,
126,Heather Brown,NGO,North Lori,(836)116-1365x8718,32.0859941,34.883235
127,Hayden Hill,NGO,North Roger,1431125754,54.4035279,-2.0618325
128,Sarah Carter,Charity,New Benjamin,001-513-018-5852,40.7565671,-73.9720387
129,Denise Martinez,Charity,Drakeburgh,(463)887-8557x617,,
130,Matthew Hughes,Charity,Marieview,468-431-4471,39.2088963,-84.3781935
131,Shawn Mills,Charity,Jeffhaven,+1-951-192-1790,,
132,Katherine Gomez,Charity,South Jasonberg,(609)802-2108x3673,,
133,Robert Johnson,NGO,West James,301-749-5770,5.6970517,-0.8552995
134,Emily Christian,Individual,Marcusberg,(724)629-2189x533,,
135,Jeanne Spencer,Shelter,Huntermouth,987-474-6001x775,,
136,Katherine Murphy,NGO,New Elaine,0675064790,-31.9189673,146.4668768
137,James Jones,NGO,Bakerfort,1224216342,,
138,Christina Potter,NGO,Phillipsbury,+1-366-144-4542x657,,
139,Charles Martin,NGO,New Christopher,(586)009-0817x964,30.0290374,-91.8072529
140,Kristin Scott,Shelter,North Christina,598.905.9117,42.3268222,-83.3844293
141,Christine Gray,Individual,Dawnview,001-466-538-0401,-26.1825,28.1536111
142,Melody Good,NGO,Wilsonfort,8802732716,,
143,Amanda Hendricks,Shelter,Nancyshire,009.494.1313,,
144,Jennifer Nelson,Individual,North Paul,(613)802-7241x644,32.5428807,-94.9424786
145,David Hull,Shelter,Tanyachester,139.804.6633,,
146,John Cummings,Individual,Joshuamouth,1344646051,,
147,Sara Wise,NGO,New Shannonbury,086-773-6881x8590,,
148,Robert Simon,NGO,North Amandafort,(172)646-7107x977,,
149,Nathan Willis,NGO,Danielfort,830.318.9696x322,,
150,Kelly Howe,Charity,Davidmouth,096.059.3098x621,,
151,Lisa Eaton,Shelter,New Aimeemouth,342.869.6733,,
152,Jasmine Miranda,Individual,Caseyland,913.509.4800x3395,,
153,Jason Holmes,Individual,Williamtown,+1-865-533-0612x9768,-32.815,151.8427778
154,Thomas Johnson,Shelter,Lake Victoriaport,6267945876,,
155,Christopher Kennedy,Shelter,Patriciaton,509-179-8044,,
156,Corey Mitchell,Charity,Jacobsmouth,001-392-115-8557x9367,,
157,Jason Davis,Individual,Charleston,523-114-6883,32.7884363,-79.9399309
158,Gregory Murphy,Individual,South Ashley,(090)319-2480,33.0486748,-91.5767415
159,Angela Cortez,NGO,Lisaton,+1-685-216-4851x71780,,
160,Tracy Hartman,Charity,South Jill,+1-947-203-9101,-33.8686205,151.031674
161,Mary Nguyen,Charity,Mcclurestad,+1-453-182-2743x789,,
162,Douglas Baxter,Individual,Amandaville,+1-139-598-2308x18363,38.3973149,-81.8559641
163,Jennifer Anderson,Charity,Daleshire,+1-073-375-4139,39.084765,-76.9313313
164,Aaron Scott,Charity,Heatherfurt,(075)863-3168x28937,,
165,Danielle Bailey,Shelter,East Sarahtown,(326)806-0927x09574,,
166,Danielle Willis,Charity,Ginamouth,870.458.3747x34840,,
167,Erica Fox,Charity,West Shawn,001-029-918-8786x2118,40.3325984,-76.7519635
168,Kayla Johnson,Shelter,East Timhaven,786.534.5065,,
169,Jon Stanton,Charity,Nguyenfurt,467-723-2786x8881,,
170,Adam Browning,Charity,Port Erica,196.596.9067,-29.9018075,30.9035026
171,Suzanne Velasquez,NGO,Joanchester,(305)672-4633x961,,
172,Nicole Brown,Charity,Thomaston,216-121-6760,40.7862124,-73.7137421
173,Jason Moore,NGO,West Courtneyport,913.468.5154x18139,,
174,Matthew Johnson,Individual,Smithstad,285.859.0597,,
175,Stephanie Hoffman,Individual,New Tiffany,(972)598-5363x199,33.7232713,-106.9441751
176,Brendan Farley,NGO,Nicoleport,376.330.3007,,
177,Tonya Lucas,NGO,Robertsonchester,+1-913-542-6523x9521,,
178,Deanna Jarvis,Shelter,Port Emilymouth,(799)565-8611,,
179,Adam Hodge,Charity,West Krystalview,+1-163-751-5462x947,,
180,Michelle Cook,Shelter,Peterhaven,(412)902-4858,,
181,Paul Evans,NGO,Smithshire,3222400397,40.7924347,-90.7783252
182,Troy Miller,Charity,Seanside,8901485867,,
183,Nicole Walker,Individual,Thomasland,001-617-475-6913x02561,52.6127276,-1.7127728
184,Matthew Sanchez,Individual,Port Melissa,001-715-920-1622x23981,29.9727035,-93.95587
185,Shannon Pineda,Individual,Lake Amanda,129-249-0893x786,35.1459907,-92.9224905
186,John Massey,Shelter,Heathertown,4995907798,,
187,Amy Thomas,Shelter,Lake Erica,+1-215-295-0597x4795,28.8182744,-81.6256216
188,Tina Ingram,Charity,Angelicatown,+1-967-134-3646x12054,,
189,Stephen Smith,Individual,Maxberg,(690)326-1349x605,49.353082,12.9303174
190,Maria Jackson,Charity,North Shelby,016.041.6963x060,33.4495475,-111.6495515
191,Brent Anderson,Shelter,New Seanburgh,2254787600,,
192,Rhonda King,Individual,Toddborough,367-958-5492,,
193,Jesse Brown,Charity,Figueroaport,001-481-425-0706x82893,,
194,Alan Campbell,NGO,Shawmouth,(942)807-0793x71978,,
195,John Martin,Charity,New Jason,581-174-6644x358,32.0552462,-103.5182297
196,Tara Bauer,Charity,Port Dustin,(709)935-2878,27.2214512,-80.3586697
197,Deanna James,Shelter,East Tinamouth,839-100-6940x3681,,
198,Scott Anderson,Individual,East Teresamouth,733.296.8887,,
199,Ashley Rivers,Individual,East Sharon,+1-988-051-2193x6577,42.1350991,-71.1611623
200,Nicole Williams,NGO,East Jillian,+1-785-780-7784x633,52.9191845,-1.4768569
201,Calvin Lucas,Individual,Corybury,4177309502,,
202,Veronica Coleman,NGO,North Mario,(096)512-5528x76619,54.9708286,-1.6140916
203,Vincent Matthews,Shelter,Allenmouth,0335998576,,
204,Rachel Thomas,Individual,North Lindachester,(417)873-5848x16786,,
205,Kimberly Wilkins,Charity,West Casey,3783162949,41.9402636,-88.1510223
206,Ashley Brooks,Individual,Ramseystad,428.820.9314,,
207,Nicholas Holloway,Shelter,South Kendraville,719-821-9201,,
208,Michael Flores,Charity,Andrewmouth,+1-972-682-8043x628,,
209,Gina Payne,Individual,Steveberg,(960)884-6634x1029,,
210,Tara Mcmahon,NGO,South Anna,283-528-8473,37.8590317,-77.9052734
211,Judy Griffith,Charity,Baileyville,+1-255-391-6382x12809,45.1549515,-67.4050134
212,Ronald Gonzalez,Shelter,Stevenmouth,+1-946-378-3210x0415,,
213,Kelly Barber,NGO,Emilymouth,259-420-4088x04690,,
214,Corey Rodriguez,NGO,New Roseville,+1-866-544-7425x907,-33.784545,151.1778441
215,Mr. Matthew Johnson DDS,Charity,Port Stephen,1733110659,40.7009039,-76.1601052
216,Morgan Massey,Charity,West Amybury,929-286-6902,,
217,Kelsey Holloway DDS,Charity,Ashleyborough,(300)705-1978x78749,,
218,Corey Lamb,Charity,New Daniel,882-893-9920,40.7667776,-73.9675711
219,Alex Rogers,Charity,Lake Austinmouth,+1-017-613-1019,,
220,Cassandra Mendoza,NGO,Dantown,2612673922,41.7067216,-80.3914547
221,Rebecca Goodman,Shelter,Robinsonland,(392)221-8538x523,,
222,Stephanie Jones,Shelter,West Aaronport,001-029-940-1111,,
223,David Henderson,Charity,Hallside,(976)946-9613,55.8140279,-4.1381123
224,Franklin Kelley,Charity,East Jacob,2077678809,14.6144292,121.1216841
225,Joseph Bowman,NGO,West Jessica,001-363-434-2847x24463,18.5413808,-72.2578144
226,Daniel Kerr,Charity,Fergusonton,(548)955-9384x8406,,
227,Samuel Hodge,NGO,Port Maria,302-463-7516,18.3732372,-76.8938277
228,Joanna Wilkins,Charity,Singletonview,(796)888-1488,,
229,Tina Watkins,Shelter,Bushview,7774795306,51.5652735,0.0137887
230,Nathaniel Moreno,NGO,Poolestad,(816)818-9063x631,,
231,Christopher Barrett,Charity,Port Brianville,+1-099-740-1254x66035,,
232,David Smith,Charity,Davidshire,106.465.7709,,
233,Alicia Porter,Charity,Port Ericmouth,001-652-614-2884x66578,,
234,Keith Atkinson,Charity,Lake Julia,686-968-4161x069,44.3473438,-85.2535956
235,Megan Freeman,NGO,Rogerburgh,+1-510-274-6183x0559,,
236,Duane Burnett,Charity,New Derek,001-590-114-4533x323,52.5804123,-1.9965637
237,Cathy Adams,Shelter,West Josephshire,269-061-4726,,
238,Kendra Krause,NGO,Davisburgh,(450)032-0502,,
239,Lindsay Garcia,NGO,North Kimberlyport,0722151225,,
240,Ronald Miller,Shelter,Edwardsside,0180633263,,
241,Elizabeth Dunn,Charity,Wilsonfurt,(069)221-0114,,
242,Matthew Pearson,NGO,Garciaview,6212235497,,
243,Alexis Smith,NGO,West Vickie,001-272-079-3939x93350,35.0075036,-90.0481005
244,Jason Ramos,Shelter,Carolhaven,146.014.0992x777,,
245,Rebecca Sanchez,Shelter,New Craig,586-413-7361,57.3562345,-2.4204854
246,Kristi Wagner,Shelter,Lake Darrellburgh,264-255-1562,,
247,John Mitchell,Charity,Aaronshire,001-095-184-7835,,
248,Victoria Lee,Charity,New Abigail,979-786-2359x15290,40.7605217,-73.9597128
249,Zachary Lewis,Charity,Lake Kelli,0318694632,42.2228699,-87.9631544
250,Jamie Ferguson,Charity,Jenniferberg,001-052-150-4048x243,,
251,Sarah Hodges,NGO,Martinland,001-016-163-1445,50.9153462,0.1585112
252,Angela Dunlap,Individual,New Julian,854.203.2129,44.8607354,1.3632959
253,Adam Pittman,NGO,West Christiantown,455.915.1588x8706,41.4221765,-70.6752093
254,Felicia Wilkinson,Shelter,Williamsfort,4034230469,,
255,Walter Myers,Individual,New Tina,+1-285-278-8381x0454,-22.2386419,166.4845805
256,Derek Wilson,Individual,Christopherland,+1-963-859-7585x002,,
257,David Bryant,Shelter,South Amy,434-290-3119x1927,35.1612867,33.3456663
258,Scott Grant,Individual,Port Samantha,001-691-849-8860x97955,32.6329952,-97.3525948
259,Aimee Stone,NGO,Barnesport,104-394-7041x83013,,
260,Patricia White,Charity,Lake Jessicaborough,(434)635-4716x587,,
261,Maria Lang,NGO,East Moniquemouth,(795)261-1223x445,,
262,Autumn Reed,NGO,East John,+1-001-202-0048,6.2364146,-57.3290261
263,Ann Mcclure,Shelter,West Johnmouth,335.776.9231,,
264,Sandra Townsend DVM,NGO,West Kelly,+1-135-886-0842x42924,31.5694931,-85.2510648
265,Rebecca May,Individual,Murrayview,(783)144-3726,-34.1675947,142.0697631
266,Stacy Mayo,Shelter,Bauerton,+1-364-925-2936x855,,
267,Randall Robbins,Shelter,Dylanton,+1-382-112-6000,,
268,Steven Morton Jr.,Shelter,Kellybury,(884)503-7406,,
269,Mrs. Paula Jones,Individual,Emilymouth,(935)377-2742x36543,,
270,Darlene Fernandez,Shelter,Monicaton,0792874429,,
271,Mark Hartman,Individual,East Ashleyshire,818-015-1582,,
272,Walter Carter,Shelter,Brianchester,(170)734-4123x02001,,
273,Jonathan Soto,Charity,Autumnbury,247-993-8111x9057,,
274,Robin Ross,Individual,East Williamborough,(780)754-0093,,
275,Michael Johnson,Individual,Longmouth,081.042.8712,,
276,Scott Hunter,Individual,Greenton,074.305.5053x60975,39.0486198,-93.9641113
277,Austin Jones,Charity,Brandonside,(601)474-8397x472,,
278,Jay Roberts,Shelter,West Christopher,(435)815-1380x935,18.5389827,-72.3123039
279,Angela Wyatt,Charity,Port Jessica,592.913.1646x3179,14.5313042,121.5668715
280,Jesse Miller,Shelter,Port Samanthamouth,142.076.4130x9854,,
281,Mrs. Kristin Adams DDS,Charity,Lake Christychester,073-764-3235,,
282,Lisa Pitts,Shelter,Lake Stephenport,001-709-342-3522,,
283,Edward Cook,Charity,Isaiahtown,990-534-5202x158,,
284,Beth Sanchez,NGO,Dustinfurt,896.737.8178x2821,,
285,Derrick Curtis,NGO,Stephaniechester,140-095-1639x5596,,
286,Travis Hughes,Shelter,Castilloland,(905)976-6704x97813,,
287,Jennifer Johnson,Charity,Burnettton,7970971389,,
288,Christopher Larsen,NGO,Susanview,146-422-6270,38.5787879,-90.3131567
289,Nathan Reynolds,Shelter,Lake Tina,0295226591,61.1661529,-149.8910659
290,Karen Brennan,Shelter,Hannahside,6935324960,,
291,Dawn Thompson,Charity,North Josephland,141.973.6585,,
292,Mrs. Emily Smith DVM,NGO,Shermantown,(348)542-4932x868,39.2065597,-115.50448
293,Randy Roach,Charity,East Bryan,888-534-4534,35.4978913,-84.998551
294,Cynthia Horton,NGO,Jamesstad,535.576.5970x774,,
295,Joseph Williams,Individual,East Dale,001-112-513-9413,54.1602878,-0.3792853
296,Pamela Santos,Shelter,Lake Michael,865.186.5350x045,42.5244956,-83.4359107
297,Deanna Daniels,Individual,Aguilarstad,001-436-929-2288,,
298,Robert Burke,NGO,Marksmouth,995.297.8023x0932,,
299,Michael Curtis,Shelter,Alexanderbury,+1-523-687-8881x66849,,
300,Jeanne Benjamin,NGO,North Alexander,595.000.7971x3446,42.9295043,-78.2416834
301,Kristina Simpson,NGO,Melissaport,3752453906,,
302,Daniel Moore,Charity,Port Richard,176-809-8232x828,34.1579944,-119.1893732
303,Joseph Davis,NGO,Millerport,779.802.6319x67760,,
304,Jennifer Ayala,NGO,Edwardshaven,(929)015-8411x75681,,
305,Brendan Vargas,NGO,Kellyville,981.660.6741x707,35.9436968,-96.2136136
306,Donna Williams,Charity,Calebview,083-313-0990x09518,,
307,Logan Becker,Charity,North Patriciamouth,+1-226-239-1432,,
308,Robin Pena,NGO,Cynthiashire,691-775-8145,,
309,Bryan Smith,Individual,New Julia,001-127-550-6441x5817,44.8607354,1.3632959
310,Gary Adams,Individual,New Sara,001-323-823-4026x61837,18.9833036,83.8245412
311,Tina Jackson,Charity,Geraldchester,103-002-5677,,
312,Pamela Morales,NGO,Schaeferfort,(791)624-2530x9708,,
313,David Marsh,Shelter,North Kimberlyfort,(498)526-5768x31348,,
314,Kelsey Smith,Shelter,Haleymouth,(764)989-3036x77897,,
315,Anthony Harris,Individual,West Aaronberg,811-306-2805,,
316,Jacob Montoya,NGO,Meganmouth,609.858.6366x85166,,
317,Martha Flores,NGO,Lake Glenview,568.426.0750,42.0915511,-87.8180905
318,Michael Carter,Charity,Danielborough,+1-149-468-9647x5327,,
319,Donald Bender,Charity,Andersenfort,(262)899-6349x569,,
320,Carmen Barker,Shelter,North Williamview,001-151-284-3163,,
321,Wanda Wise,Shelter,South Bethanyport,(940)028-0493x49472,,
322,Stephanie Mathews,Shelter,North Ashleymouth,+1-852-242-7762x49312,,
323,Linda Banks,Individual,New Sarahmouth,323-540-9403x92583,,
324,Kristine Martin,NGO,Thompsonhaven,444.954.4127x16438,,
325,Lawrence Owens,Individual,South Amybury,+1-565-748-7655,,
326,Douglas Jacobs,NGO,East Gina,819-072-2490x353,51.5100102,-0.1486392
327,Aaron Keller,Shelter,Melissaview,799.568.0302,39.147467,-84.658932
328,Carlos Lawrence,Individual,New Justinhaven,272.580.3538,,
329,Christine Patterson,Individual,Edwardfort,001-270-907-0981x5520,,
330,Kimberly Hamilton,Individual,North Bruce,398-486-8232x9944,35.6732153,-77.4838579
331,Shane Stein,Individual,Reidton,(086)799-6277x14274,,
332,Raymond Harris,Charity,Hammondfort,173.185.2783,,
333,Gabriel Vargas,Charity,Chaseview,001-343-254-2598,29.610166,-95.5026023
334,Gina Wu DDS,Shelter,Lake Melindaside,(484)350-0946,,
335,Deborah Sexton,Shelter,Victoriastad,899-936-4720x6569,,
336,Laura Marshall,Charity,East Lisafurt,+1-389-167-7916x81453,,
337,Jennifer Schmidt,Individual,South Michelleshire,007-561-4094x27296,,
338,Patrick Zimmerman,Shelter,Thomasberg,(913)638-9318x024,47.5701852,16.1435083
339,Dustin Johnson,Individual,Gomezmouth,001-171-995-2815x84366,,
340,John Baxter,NGO,New William,894-441-9136x66913,41.449505,-74.816548
341,Anna Buckley,Individual,Murphyfort,421.281.9097x013,,
342,Kristina Vargas,Charity,Lake Rebeccaton,364.779.6707x066,,
343,Roberto Stanley,Shelter,Melindaview,(273)299-4177x0763,,
344,Barbara Velasquez,Charity,Priceborough,(669)247-4183,,
345,Eric Ramos,Individual,Rushfurt,515.928.1587x32812,,
346,Mr. Mark Knight DVM,Charity,East Joseph,757-796-7872x2411,30.106024,-92.124066
347,Michael Keller,Individual,New Derek,(000)572-1246x444,52.5804123,-1.9965637
348,Donna Hughes,Individual,Maryfort,352-520-3779x375,52.8773939,-8.7057533
349,Gwendolyn Johnson,Individual,West James,649.714.9926,5.6970517,-0.8552995
350,Sylvia Stanley,Shelter,Jenniferbury,065-230-0281,,
351,Kerry Jones,Charity,New Christopher,725-779-5651,30.0290374,-91.8072529
352,Cody Martin,Individual,Angelamouth,(239)678-6580x09652,,
353,Mrs. Stacey Morales MD,Individual,Juliastad,866.050.9817,,
354,Kimberly Nelson,Charity,Lake Lesliemouth,(009)475-3945,,
355,Brian Hoffman,Shelter,Lake Dillonborough,(718)753-5421x7242,,
356,Brian Cherry,Charity,Swansonport,+1-673-372-2010,,
357,Jacob Orozco,Individual,West Jeffrey,787-834-8225,37.1100137,-119.3225015
358,Brian Davis,Charity,Williamsfort,(750)646-5852,,
359,Travis Walker,NGO,West Dan,(843)905-0785,52.3672193,4.8687319
360,Tammy Boone,Shelter,New Christopher,301.713.7646x501,30.0290374,-91.8072529
361,Samuel Lewis,Individual,North Nicole,001-381-807-5033x358,52.3750977,4.8604543
362,Elizabeth Collins,Shelter,Johnland,(601)532-8275x383,40.9046417,-73.2405597
363,Stephanie West,Charity,North Jamesfurt,001-794-254-5542,,
364,Keith Gray,Charity,New Corey,001-297-087-3713x91812,42.9936431,-71.4530598
365,Melissa Green,Shelter,South John,621.698.0426x1205,2.9401552,9.9145143
366,Tony Holmes,NGO,Jaredport,623.131.4040x0485,,
367,Ricardo Roberts,Individual,West Matthewborough,(371)857-1738x24461,,
368,Debra Murray,NGO,Duncanchester,566-832-5437,,
369,Sherry Hall,NGO,Davidmouth,256-166-3623x2267,,
370,Tara Johns,Individual,Paulmouth,374.171.5991x58449,,
371,William Frederick,NGO,Port Dean,001-228-551-9866,27.0566139,-82.0857006
372,Harold Bowen,Charity,South Barbaraburgh,732.692.1653x04238,,
373,Seth Esparza,Shelter,Port Brandonberg,2597616873,,
374,Ricky Walker,Individual,Port Johnstad,001-066-700-7862x511,,
375,Melissa Smith,Shelter,Lake Stevenburgh,+1-616-230-5539,,
376,John Reeves,NGO,Jamieview,+1-050-306-9244x20943,,
377,Patrick Campbell,NGO,Leeton,7058064686,-34.5297534,146.293258
378,Brandi Buckley,Shelter,Lawrencechester,518-742-2945x12087,,
379,Tara Graham,Shelter,Lake Cory,617.869.7697,42.3248187,-120.3072826
380,Heather Silva,Charity,Lake Ryan,1340826530,-42.4255426,171.2074918
381,Yvette Huffman,Charity,Reevestown,8398518386,32.937929,-80.4740704
